instance_id,n,scenario,time_scratch_sec,time_warm_sec,iter_scratch,iter_warm,speedup,status_scratch,status_warm
62,32,value,0.000588800001423806,5.800000508315861e-06,24,0,101.51723272775627,optimal,optimal
62,32,volume,0.0004360999992059078,0.00026059999981953297,22,9,1.6734458922022626,optimal,optimal
63,33,capacity,0.0007842000013624784,4.4099999286117963e-05,33,2,17.782313243921823,optimal,optimal
63,33,value,0.0006956000015634345,5.3699999625678174e-05,30,3,12.953445184584576,optimal,optimal
63,33,volume,0.0005132999995112186,0.0004945000000589062,27,25,1.0380181990901374,optimal,optimal
64,21,capacity,0.0005373000003601192,4.13999987358693e-05,19,1,12.978261274549219,optimal,optimal
64,21,value,0.0004453000001376495,6.70000008540228e-06,19,0,66.46268574053501,optimal,optimal
64,21,volume,0.00033350000012433156,0.0002555999999458436,15,12,1.304773083704982,optimal,optimal
65,43,capacity,0.0009124999996856786,2.8100001145503484e-05,35,1,32.47330827357263,optimal,optimal
65,43,value,0.0008609999986219918,2.479999966453761e-05,29,1,34.71774234953583,optimal,optimal
65,43,volume,0.0007378000009339303,5.93999993725447e-05,30,0,12.420875567802602,optimal,optimal
66,27,capacity,0.0005944000004092231,2.6100000468431972e-05,27,1,22.77394596709497,optimal,optimal
66,27,value,0.0005430000001069857,6.199999916134402e-06,24,0,87.58064636322402,optimal,optimal
66,27,volume,0.0003732999994099373,0.00024819999998726416,18,10,1.5040290065636275,optimal,optimal
67,15,capacity,0.00033599999915168155,5.2000001232954673e-05,15,2,6.461538292017264,optimal,optimal
67,15,value,0.00028610000117623713,6.499998562503606e-06,12,0,44.015394530493545,optimal,optimal
67,15,volume,0.00022840000019641593,9.200000022246968e-05,12,3,2.482608691783813,optimal,optimal
68,29,capacity,0.0004990999987057876,4.3799998820759356e-05,19,2,11.394977446191966,optimal,optimal
68,29,value,0.000574199999391567,2.2000000171829015e-05,24,1,26.09999976849226,optimal,optimal
68,29,volume,0.0004119000004720874,0.00015780000103404745,20,6,2.610266145582689,optimal,optimal
69,29,capacity,0.0006668000005447539,4.2800000301213004e-05,28,2,15.579439155421126,optimal,optimal
69,29,value,0.000624700000116718,6.50000038149301e-06,26,0,96.10768668497036,optimal,optimal
69,29,volume,0.0004984999995940598,0.0002297000010003103,26,10,2.1702220175148645,optimal,optimal
70,57,capacity,0.0015198000000964385,9.449999924981967e-05,50,4,16.08253981123009,optimal,optimal
70,57,value,0.001373000000967295,7.300001016119495e-06,44,0,188.0821657333342,optimal,optimal
70,57,volume,0.0011840000006486662,0.00041370000144524965,47,15,2.8619772697906565,optimal,optimal
71,45,capacity,0.001070300000719726,8.799999886832666e-05,41,4,12.162500164587538,optimal,optimal
71,45,value,0.001184599999760394,2.4300001314259134e-05,41,1,48.748968546980116,optimal,optimal
71,45,volume,0.000769899999795598,0.0003952999995817663,36,14,1.9476347093603956,optimal,optimal
72,52,capacity,0.0011580999998841435,7.17999992048135e-05,37,3,16.129526639416785,optimal,optimal
72,52,value,0.0010581000005913666,6.319999920378905e-05,33,3,16.742088827873435,optimal,optimal
72,52,volume,0.0007449000004271511,0.00017320000006293412,32,5,4.300808314991245,optimal,optimal
73,29,capacity,0.000683400001435075,4.5000000682193786e-05,27,2,15.186666468329454,optimal,optimal
73,29,value,0.0006170000015117694,6.50000038149301e-06,26,0,94.92307158450478,optimal,optimal
73,29,volume,0.0003923999993276084,0.0002901999996538507,20,13,1.3521709159051047,optimal,optimal
74,41,capacity,0.0009198999996442581,9.590000081516337e-05,36,3,9.592283543534723,optimal,optimal
74,41,value,0.0009279999994760146,4.900000931229442e-06,36,0,189.38771900257035,optimal,optimal
74,41,volume,0.0005504000000655651,0.0004460000000108266,25,20,1.234080717605839,optimal,optimal
75,28,capacity,0.0005381999999372056,4.439999975147657e-05,23,2,12.121621688056589,optimal,optimal
75,28,value,0.0006191000011313008,8.500001058564521e-06,24,0,72.83528518005318,optimal,optimal
75,28,volume,0.00036980000004405156,0.00032529999953112565,19,15,1.1367968047250736,optimal,optimal
76,38,capacity,0.0008106000004772795,6.349999966914766e-05,32,3,12.765354404735858,optimal,optimal
76,38,value,0.0007733000002190238,4.900000931229442e-06,30,0,157.8162965828249,optimal,optimal
76,38,volume,0.0005995000010443619,0.000430199999755132,28,17,1.393537892574604,optimal,optimal
77,19,capacity,0.00028819999897677917,5.900001269765198e-06,12,0,48.84744694101543,optimal,optimal
77,19,value,0.0002870999996957835,6.000000212225132e-06,12,0,47.84999825680188,optimal,optimal
77,19,volume,0.0002478000005794456,6.209999992279336e-05,13,1,3.9903381785430954,optimal,optimal
78,26,capacity,0.00048609999976179097,5.48999996681232e-05,21,2,8.854280559204394,optimal,optimal
78,26,value,0.000532500000190339,1.9600000086938962e-05,20,0,27.168367236140273,optimal,optimal
78,26,volume,0.0004298999992897734,0.00024309999935212545,21,11,1.768408064317071,optimal,optimal
79,15,capacity,0.000283800000033807,2.4599999960628338e-05,13,1,11.536585385691932,optimal,optimal
79,15,value,0.0002829000004567206,6.300000677583739e-06,13,0,44.90475714761704,optimal,optimal
79,15,volume,0.00018190000082540791,0.000146399999721325,9,6,1.2424863468009413,optimal,optimal
